tau,t_nondim,t_days,x,y,z,vx_halo,vy_halo,vz_halo,vx_arr,vy_arr,vz_arr,delta_v_nondim,delta_v_m_s,C_halo,C_arr,delta_C,dist_from_moon_km,dist_from_l2_km,valid
0.0,0.0,0.0,1.1111238554848533,0.0,0.035,0.0,0.20256882013993485,0.0,0.22579775702402538,0.0,0.007035610549505576,0.3034275099356853,310.8757010983002,3.1412189199162857,3.131218919916286,0.009999999999999787,49259.607511502116,21780.39845856995,True
0.001,0.003394396287261952,0.014740097479713481,1.1111239862406617,0.0006875913326416838,0.03499869545430258,7.704980670414385e-05,0.20256217539910443,-0.000768637561476528,0.22579308774205506,0.00013821497808869866,0.007035202009840189,0.3032887888561273,310.7335748524834,3.1412189199162857,3.131218919916286,0.009999999999999787,49260.227997251954,21781.652871233167,True
0.002,0.006788792574523904,0.029480194959426963,1.111124378663841,0.0013751375573703341,0.034994782002660124,0.00015419137874730015,0.20254224281530303,-0.0015371658595106663,0.22577908130210236,0.000276403645331793,0.0070339765365900475,0.30313614949397405,310.57718867400325,3.1412189199162857,3.131218919916286,0.009999999999999787,49262.089329541355,21785.415322011908,True
0.003,0.010183188861785855,0.04422029243914044,1.1111250332215319,0.0020625935773959754,0.03498826020132468,0.00023151640991919968,0.2025090273031256,-0.002305475688095702,0.22575574192107326,0.00041453970534243513,0.007031934566873283,0.30296954540033555,310.40649497379565,3.141218919916285,3.1312189199162854,0.009999999999999787,49265.19113356136,21791.683450825545,True
0.004,0.013577585149047808,0.058960389918853925,1.1111259506918978,0.002749914318164741,0.034979130977058084,0.00030911645101077654,0.20246253704865044,-0.00307345795602264,0.2257230766239344,0.0005525968906355274,0.0070290768288211,0.3027889340523074,310.2214501851525,3.141218919916285,3.1312189199162854,0.009999999999999787,49269.53278486853,21800.453329372674,True
0.005,0.01697198143630976,0.0737004873985674,1.111127132163518,0.003437054738451907,0.03496739562664522,0.0003870828385587262,0.20240278350207874,-0.0038410037440966675,0.2256810952389042,0.0006905489770392243,0.007025404340979941,0.3025942768877214,310.0220147993257,3.1412189199162857,3.131218919916286,0.009999999999999787,49275.11340974179,21811.719468855477,True
0.006,0.02036637772357171,0.08844058487828088,1.111128579034541,0.004123969841425013,0.034953055816213274,0.00046550662388654624,0.20232978136744856,-0.004608004362133933,0.22562981039072535,0.0008283697980592706,0.0070209184114756054,0.302385539337013,309.80815339817667,3.141218919916285,3.1312189199162854,0.009999999999999787,49281.93188568165,21825.474830743424,True
0.007,0.023760774010833666,0.10318068235799437,1.1111302930115945,0.004810614685667073,0.03493611358035805,0.0005444785025342792,0.20224354858944238,-0.005374351405667969,0.2255692374920436,0.0009660332591806254,0.00701562063694109,0.3021626908521751,309.5798346838407,3.1412189199162857,3.131218919916286,0.009999999999999787,49289.98684205016,21841.71084052741,True
0.008,0.027155170298095617,0.11792077983770785,1.1111322761084605,0.005496944396150159,0.034916571321078435,0.0006240887441757906,0.20214410633731164,-0.006139936812293013,0.22549939473288916,0.0011035133520909033,0.007009512901209238,0.3019257049327443,309.3370315053514,3.141218919916285,3.1312189199162854,0.009999999999999787,49299.27666085272,21860.417404399705,True
0.009000000000000001,0.03054956658535757,0.13266087731742135,1.1111345306445104,0.00618291417514953,0.03489443180652023,0.0007044271231194452,0.20203147898594775,-0.006904652917573642,0.2254203030682918,0.0012407841688103854,0.007002597373772665,0.30167455914879704,309.0797208822011,3.1412189199162848,3.131218919916285,0.009999999999999787,49309.79947765815,21881.582928785672,True
0.01,0.03394396287261952,0.1474009747971348,1.1111370592429073,0.006868479313088722,0.034869698169531144,0.0007855828494812873,0.20190569409413392,-0.007668392510452066,0.22533198620404335,0.0013778199157134963,0.0069948765080131295,0.3014092351609253,308.8078840248071,3.141218919916285,3.1312189199162854,0.009999999999999787,49321.55318265861,21905.194342636652,True
0.011,0.03733835915988147,0.1621410722768483,1.111139864828575,0.0075535951993061096,0.03484237390602856,0.0008676445011260902,0.2017667823800164,-0.008431048888083619,0.22523447058062818,0.0015145949274268774,0.0069863530392030035,0.30112971873716504,308.5215063518552,3.1412189199162857,3.131218919916286,0.009999999999999787,49334.535421865825,21931.237122385824,True
0.012,0.04073275544714342,0.17688116975656176,1.1111429506259374,0.008238217332733498,0.03481246287318234,0.0009506999564671388,0.20161477769384034,-0.009192515910032725,0.22512778535535327,0.0016510836805894563,0.006977029982282102,0.3008359997668633,308.22057750450784,3.141218919916285,3.1312189199162854,0.009999999999999787,49348.743598442976,21959.695319455543,True
0.013000000000000001,0.04412715173440538,0.19162126723627526,1.111146320156431,0.00892230133247766,0.03477996928741476,0.001034836328208325,0.2014497169879977,-0.00995268805176507,0.2250119623827005,0.0017872608074601692,0.006966910629413046,0.300528072271472,307.90509135746237,3.1412189199162857,3.131218919916286,0.009999999999999787,49364.174874170894,21990.551590195202,True
0.014,0.04752154802166733,0.20636136471598873,1.1111499772357962,0.009605802948295654,0.03474489772222018,0.00112013989811859,0.20127164028444208,-0.01071146045737056,0.22488703619293776,0.0019231011093593224,0.006955998547319072,0.3002059344122602,307.57504602685276,3.1412189199162857,3.131218919916286,0.009999999999999787,49380.8261710462,22023.787228120615,True
0.015,0.050915944308929276,0.2211014621957022,1.1111539259711465,0.010288678070955189,0.0347072531058072,0.0012066960529218097,0.20108059063952713,-0.01146872899145434,0.2247530439690125,0.002058579569929845,0.006944297574407997,0.2998695884949388,307.2304438749878,3.1412189199162848,3.131218919916285,0.009999999999999787,49398.69417300971,22059.382198316856,True
0.016,0.054310340596191234,0.2358415596754157,1.1111581707578233,0.010970882742471315,0.03466704071856607,0.0012945892213797098,0.2008766141063317,-0.012224390290136496,0.22461002552177844,0.0021936713682052028,0.006931811817687116,0.29951904097121257,306.87129151194154,3.141218919916285,3.1312189199162854,0.009999999999999787,49417.775327802316,22097.315173860818,True
0.017,0.057704736883453185,0.2505816571551292,1.1111627162760398,0.011652373166211111,0.0346242661903647,0.0013839028126497173,0.2006597596945373,-0.01297834181110078,0.22445802326358374,0.0023283518914709546,0.0069185456494733144,0.2991543024372586,306.4975997939937,3.1412189199162857,3.131218919916286,0.009999999999999787,49438.06584894714,22137.56357411226,True
0.018000000000000002,0.06109913317071514,0.2653217546348427,1.1111675674873167,0.012333105716858007,0.034578935497676384,0.0014747191559908333,0.20043007932792836,-0.013730481882635787,0.22429708218025862,0.002462596747907363,0.006904503703903239,0.2987753876291456,306.10938381893715,3.141218919916285,3.1312189199162854,0.009999999999999787,49459.56171785446,22180.103604719156,True
0.019,0.06449352945797708,0.2800618521145561,1.111172729630717,0.013013036950228044,0.034531054960542935,0.0015671194418916653,0.2001876277995892,-0.014480709751614662,0.22412724980156043,0.0025963817790011167,0.006889690873249125,0.2983823154152211,305.7066629182781,3.1412189199162857,3.131218919916286,0.009999999999999787,49482.25868604771,22224.91029917804,True
0.02,0.06788792574523904,0.2948019495942696,1.1111782082188817,0.01369212361293013,0.034480631239376724,0.001661183664684638,0.19993246272487486,-0.015228925630361588,0.22394857617010128,0.002729683071714283,0.00687411230404509,0.2979751087854822,305.28946064634573,3.1412189199162857,3.131218919916286,0.009999999999999787,49506.15227750655,22271.957561788855,True
0.021,0.071282322032501,0.30954204707398314,1.1111840090338758,0.014370322651863016,0.03442767133160577,0.0017569905667222014,0.1996646444922368,-0.01597503074235347,0.2237611138088241,0.002862476970399498,0.006857773393030142,0.29755379483796285,304.85780476634545,3.141218919916287,3.131218919916287,0.009999999999999787,49531.237791126274,22321.218211840358,True
0.022,0.07467671831976294,0.3242821445536966,1.1111901381228446,0.015047591223541813,0.03437218256816552,0.001854617584160131,0.1993842362119869,-0.016718927366714032,0.22356491768706532,0.0029947400884505902,0.006840679782913417,0.29711840476217816,304.41172723339696,3.141218919916288,3.131218919916288,0.009999999999999787,49557.51030328779,22372.664028864518,True
0.023,0.0780711146070249,0.3390222420334101,1.1111966017934916,0.015723886703247224,0.03431417260984197,0.0019541407944308233,0.1990913036630862,-0.017460518881448842,0.22336004518525487,0.0031264493196784247,0.00682283735796781,0.2966689738196466,303.9512641745781,3.1412189199162897,3.13121891991629,0.009999999999999787,49584.96467053798,22426.265798795368,True
0.024,0.08146551089428684,0.3537623395131235,1.1112034066093788,0.01639916669399079,0.03425364944347007,0.0020556348654379593,0.19878591523804842,-0.0181997098053859,0.22314655605831052,0.003257581849402318,0.0068042522394583665,0.2962055413215535,303.4764558660403,3.141218919916293,3.1312189199162934,0.009999999999999787,49613.59553237502,22481.99336087268,True
0.025,0.0848599071815488,0.368502436992837,1.111210559385057,0.017073389035303227,0.034190621377989325,0.002159173006556585,0.19846814188605802,-0.01893640583878034,0.2229245123977911,0.00338811516525069,0.006784930780911753,0.29572815060359303,302.98734670723246,3.1412189199162945,3.1312189199162948,0.009999999999999787,49643.39731413602,22539.815655132155,True
