iteration,x0,z0,ydot0,half_period,xdot_residual,zdot_residual,correction_norm
0,1.1241821589323058,0.035,0.1708922271147156,1.4396385930702846,0.18648263002379728,-0.04790443185508905,0.20562585832316654
1,1.1091818493790704,0.035,0.22006147882758287,1.6148428276587794,0.09697279626188415,-0.024462935161352742,0.011306585810802414
2,1.1043348490781433,0.035,0.23027644191023036,1.7450707812027921,-0.05671219997676401,0.02085156233214545,0.020759279587012156
3,1.1093461713430601,0.035,0.21013111148035438,1.705962017818167,-0.007982536912917474,0.003222185584938627,0.007575993387875773
4,1.1110801822163239,0.035,0.20275622964370502,1.6973967886111094,-0.00016731079373016964,7.012500432950408e-05,0.00019234427189413646
5,1.1111238359572932,0.035,0.20256890460578997,1.6971982233900234,-6.458025459104427e-08,2.8305036179916004e-08,8.669374992254515e-08
6,1.1111238554848533,0.035,0.20256882013993485,1.697198143630976,-1.5247351992098146e-14,5.652596446470426e-15,0.0
