tau,delta_v_m_s,accepted,earthward_ok,moon_guard_ok,min_dist_earth_du,min_dist_moon_km,final_dist_earth_du,jacobi_max_drift,t_back_days
0.0,310.8757010983002,False,False,False,0.9500696887761321,4605.475487367759,0.9500696887761321,2.347055882978566e-11,10.0
0.025,302.98734670723246,False,False,False,0.8195056874356594,3618.4811096075755,0.8195056874356594,9.226353014923916e-11,10.0
0.05,286.3215290732819,False,True,False,0.7559389540495284,2890.93709196676,0.7559389540495284,2.7112534439766023e-11,10.0
0.07500000000000001,262.338628761705,False,True,False,0.7416185813543489,2766.6191592335717,0.7416185813543489,5.219380483367786e-11,10.0
0.1,233.49722608718776,False,True,False,0.7503622177874033,3069.8266974376897,0.7503622177874033,3.092370803869926e-11,10.0
0.125,202.62519828889953,False,True,False,0.7721515506808495,1767.8160239984375,0.7721515506808495,3.121281011431165e-11,10.0
0.15000000000000002,172.50469454339017,False,False,False,0.8117014834374054,2368.0590156548346,0.8117014834374054,1.2603575960667968e-09,10.0
0.17500000000000002,145.7648572042556,False,False,False,0.8708125853617562,1679.7991349028698,0.8932532806632485,5.2931881100448663e-11,10.0
0.2,124.96109686369364,True,True,True,0.620330227731498,11807.816653242005,0.620330227731498,9.051426275163976e-12,10.0
0.225,112.49405713185894,True,True,True,0.44421470624035675,15441.53026508199,0.44421470624035675,7.753886421824063e-11,10.0
0.25,109.83891376996648,True,True,True,0.4004196095779773,18961.47304285315,0.4004196095779773,1.0254330717884841e-10,10.0
0.275,116.43795180191593,True,True,True,0.4204437003403644,21882.902533245906,0.4204437003403644,9.328005035058595e-11,10.0
0.30000000000000004,129.9305636430959,True,True,True,0.4557694798655377,23967.258751318364,0.4557694798655377,8.917755422999107e-11,10.0
0.325,147.60405970178974,True,True,True,0.48476590966685024,25224.10491785563,0.48476590966685024,8.399503315104084e-11,10.0
0.35000000000000003,167.29708795873174,True,True,True,0.5067455018953784,25851.942558756185,0.5067455018953784,7.438227811462639e-11,10.0
0.375,187.47447188529787,True,True,True,0.5291251772686881,26090.157857032176,0.5291251772686881,6.213740633143061e-11,10.0
0.4,207.0427034462172,True,True,True,0.5594622929469295,26140.25130051691,0.5594622929469295,8.501599424448614e-11,10.0
0.42500000000000004,225.19032271107238,True,True,True,0.6023229588830886,26123.361121046608,0.6023229588830886,6.379030637049254e-11,10.0
0.45,241.29344771822073,True,True,True,0.6590428629043878,26081.959097836967,0.6590428629043878,4.061861957893598e-11,10.0
0.47500000000000003,254.86747856747792,True,True,True,0.7288475071303346,25973.775859127323,0.7288475071303346,1.3011813848606835e-11,10.0
0.5,265.5458104952458,False,False,True,0.8099679833943706,25721.867955861893,0.8099679833943706,2.5797586289399987e-11,10.0
0.525,273.0738486436608,False,False,True,0.8906128576691227,25235.521406055916,0.8995674479591635,3.544942117628125e-11,10.0
0.55,277.3121326096195,False,False,True,0.9242151090825539,14794.309122525123,0.9891192490682775,1.843103447640715e-11,10.0
0.5750000000000001,278.24589399569726,False,False,False,0.9321412763332193,7858.19014417619,1.0097301323409549,2.709610313900157e-11,10.0
0.6000000000000001,276.00077785039815,False,False,True,0.9387198378521788,16186.740541619494,1.0369587793151154,1.7775558802668456e-11,10.0
0.625,270.8661469644487,False,False,True,0.9443439532468059,20722.94789249006,1.0692413330282378,1.3148593325240654e-11,10.0
0.65,263.3279770913768,False,False,True,0.9491073098160374,19322.758067717667,1.0983353072663227,1.2938095039771724e-11,10.0
0.675,254.11121021428292,False,False,True,0.9530119929514149,18032.581310897644,1.1243378666479993,2.248512487312837e-11,10.0
0.7000000000000001,244.22280013909315,False,False,True,0.9559783752727941,16950.57426882072,1.1472169790137428,1.9823254149287095e-11,10.0
0.7250000000000001,234.96600439525858,False,False,True,0.9580471730589739,16163.130286670521,1.1665239152820697,2.83657541899629e-11,10.0
0.75,227.86448994688234,False,False,True,0.9591517868824763,15678.287090354956,1.1815564565978771,2.934896770057094e-11,10.0
0.775,224.42293146628748,False,False,True,0.9594617066973282,15509.39931925166,1.191647731602364,1.937294769049913e-11,10.0
0.8,225.73191301451752,False,False,True,0.9592246335417945,15527.779128433496,1.1966233860564977,1.4854784069484595e-11,10.0
0.8250000000000001,232.1045313898329,False,False,True,0.9590996677328644,15495.391878613518,1.1971720659386886,2.716937785862683e-11,10.0
0.8500000000000001,242.99180246283612,False,False,True,0.9597372999889183,15146.692684358712,1.1947909115956323,2.02047267805483e-11,10.0
0.875,257.1860672796339,False,False,True,0.9618865463688225,14242.853189578438,1.1918445780726692,1.8071322216428598e-11,10.0
0.9,273.06826169086753,False,False,True,0.9657850518572415,12726.781573823593,1.1909497547542092,1.0794920513035322e-11,10.0
0.925,288.70714330055097,False,False,True,0.971178390419718,10729.852969947102,1.1898784795608097,2.2569945912209732e-11,10.0
0.9500000000000001,301.84934341639877,False,False,False,0.9772272189817696,8487.65013988701,1.175356742137214,1.4342305121317622e-11,10.0
0.9750000000000001,310.01012304456845,False,False,False,0.9829198648922822,6447.14805073088,1.1141244914946749,1.9191315203670456e-11,10.0
