field,value
mu,0.012150583916324809
x_L2,1.1556821589323059
x0,1.1111238554848533
y0,0.0
z0,0.035
xdot0,0.0
ydot0,0.20256882013993485
zdot0,0.0
half_period_nondim,1.697198143630976
period_nondim,3.394396287261952
period_days,14.74009747971348
